id,discipline,department,speciality_id
364,Системный анализ и принятие решений,БМТ2,12.03.04_72
365,Экономика часть 2,ИБМ6,12.03.04_72
366,Электроника и микропроцессорная техника. Курсовая работа,БМТ2,12.03.04_72
367,Электроника и микропроцессорная техника,БМТ1,12.03.04_72
368,"Медицинские приборы, аппараты, системы и комплексы",БМТ1,12.03.04_72
369,Биомедицинская оптика,БМТ1,12.03.04_72
370,Электроника и микропроцессорная техника,БМТ2,12.03.04_72
371,Методы анализа нестационарных биомедицинских сигналов,БМТ1,12.03.04_72
372,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,12.03.04_72
373,ДВ №2 (основная) : Измерительные преобразователи и электроды,БМТ1,12.03.04_72
374,"ДВ №2: Физические методы и средства измерения, контроля и диагностики физиологических параметров",БМТ1,12.03.04_72
375,ДВ №3 (основная) : Организация научных исследований,БМТ2,12.03.04_72
376,ДВ №3: Искусственные органы и системы,БМТ1,12.03.04_72
377,ДВ №4 (основная) : Основы компьютерной томографии,БМТ2,12.03.04_72
378,ДВ №4: Лазерная медицинская техника,БМТ1,12.03.04_72
379,Ознакомительная практика,БМТ2,12.03.04_72
380,Эксплуатационная практика,БМТ2,12.03.04_72
381,Учебно-технологический практикум,РЛ6,12.03.04_72
382,Научно-исследовательская работа,БМТ2,12.03.04_72
383,Медико-техническая практика,БМТ1,12.03.04_72
384,Научно-исследовательская работа,БМТ2,12.03.04_72
385,Научно-исследовательская работа,БМТ2,12.03.04_72
386,Преддипломная практика,БМТ2,12.03.04_72
387,Подготовка и защита ВКР,БМТ2,12.03.04_72
388,Аналитическая геометрия,ФН1,12.03.04_62
389,Инженерная графика,РК1,12.03.04_62
390,Иностранный язык,Л2,12.03.04_62
391,Математический анализ,ФН1,12.03.04_62
392,Начертательная геометрия,РК1,12.03.04_62
393,История России,СГН1,12.03.04_62
394,Физическая культура и спорт,ФВ,12.03.04_62
395,Информатика,ИУ7,12.03.04_62
396,Линейная алгебра,ФН1,12.03.04_62
397,Интегралы и дифференциальные уравнения,ФН1,12.03.04_62
398,Информатика,ИУ7,12.03.04_62
399,Общая биология,БМТ4,12.03.04_62
400,Химия,ФН5,12.03.04_62
401,Русский язык и культура речи,Л1,12.03.04_62
402,Физика,ФН4,12.03.04_62
403,Иностранный язык,Л2,12.03.04_62
404,Биохимия,БМТ2,12.03.04_62
405,Паталогические анатомия и физиология,БМТ4,12.03.04_62
406,Прикладная механика,РК5,12.03.04_62
407,Теория поля и ряды,ФН1,12.03.04_62
408,Электротехника,ФН7,12.03.04_62
409,Биофизика,БМТ2,12.03.04_62
410,Интегральные преобразования и уравнения математической физики,ФН1,12.03.04_62
411,Конструирование узлов и элементов биотехнических систем,РЛ5,12.03.04_62
412,Культурология,СГН2,12.03.04_62
413,Основы технологии приборостроения,РЛ6,12.03.04_62
414,Теория случайных процессов,РЛ2,12.03.04_62
415,Биомеханика,БМТ2,12.03.04_62
416,Биофизика КР,БМТ2,12.03.04_62
417,Биофизические основы живых систем 1,БМТ1,12.03.04_62
418,Клиническая терапия и хирургия,БМТ4,12.03.04_62
419,"Метрология, стандартизация и технические измерения",БМТ1,12.03.04_62
420,Политология,СГН3,12.03.04_62
421,Философия,СГН4,12.03.04_62
422,Электроника и микропроцессорная техника,РЛ1,12.03.04_62
423,Биофизические основы живых систем,БМТ2,12.03.04_62
424,Конструкционные и биоматериалы,БМТ2,12.03.04_62
425,Основы медицинской акустики,БМТ2,12.03.04_62
426,Правоведение,ЮР,12.03.04_62
427,Экология,Э9,12.03.04_62
428,Безопасность жизнедеятельности,Э9,12.03.04_62
429,Биотехнические системы медицинского назначения,БМТ2,12.03.04_62
430,Методы обработки биомедицинских сигналов,БМТ2,12.03.04_62
431,Управление в биотехнических системах,БМТ2,12.03.04_62
432,Экономика часть 1,ИБМ3,12.03.04_62
435,Экономика часть 2,ИБМ6,12.03.04_62
436,Электроника и микропроцессорная техника,БМТ1,12.03.04_62
437,Электроника и микропроцессорная техника. Курсовая работа,БМТ2,12.03.04_62
438,Биомедицинская оптика,БМТ1,12.03.04_62
439,"Медицинские приборы, аппараты, системы и комплексы",БМТ1,12.03.04_62
440,Электроника и микропроцессорная техника,БМТ2,12.03.04_62
441,Методы анализа нестационарных биомедицинских сигналов,БМТ1,12.03.04_62
442,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,12.03.04_62
443,ДВ №2 (основная) : Измерительные преобразователи и электроды,БМТ1,12.03.04_62
444,"ДВ №2: Физические методы и средства измерения, контроля и диагностики физиологических параметров",БМТ1,12.03.04_62
445,ДВ №3 (основная) : Организация научных исследований,БМТ2,12.03.04_62
446,ДВ №3: Искусственные органы и системы,БМТ1,12.03.04_62
447,ДВ №4 (основная) : Основы компьютерной томографии,БМТ2,12.03.04_62
448,ДВ №4: Лазерная медицинская техника,БМТ1,12.03.04_62
449,Ознакомительная практика,БМТ2,12.03.04_62
450,Эксплуатационная практика,БМТ2,12.03.04_62
451,Учебно-технологический практикум,РЛ6,12.03.04_62
452,Научно-исследовательская работа,БМТ2,12.03.04_62
453,Медико-техническая практика,БМТ1,12.03.04_62
454,Научно-исследовательская работа,БМТ2,12.03.04_62
455,Научно-исследовательская работа,БМТ2,12.03.04_62
456,Преддипломная практика,БМТ2,12.03.04_62
457,Подготовка и защита ВКР,БМТ2,12.03.04_62
458,Аналитическая геометрия,ФН1,19.03.01_01
459,Инженерная и компьютерная графика,РК1,19.03.01_01
460,Иностранный язык,Л2,19.03.01_01
461,Информатика,ИУ7,19.03.01_01
462,История России,СГН1,19.03.01_01
463,Математический анализ,ФН1,19.03.01_01
464,Общая и неорганическая химия,ФН5,19.03.01_01
465,Русский язык и культура речи,Л1,19.03.01_01
466,Физическая культура и спорт,ФВ,19.03.01_01
467,Интегралы и дифференциальные уравнения,ФН1,19.03.01_01
468,Линейная алгебра и функции нескольких переменных,ФН1,19.03.01_01
469,Органическая химия,ФН5,19.03.01_01
470,Физика,ФН4,19.03.01_01
471,"Метрология, стандартизация и технические измерения",БМТ1,19.03.01_01
472,Основы биохимии и микробиологии,БМТ3,19.03.01_01
473,Теория поля и ряды,ФН1,19.03.01_01
474,Электротехника,БМТ1,19.03.01_01
475,Интегральные преобразования и уравнения математической физики,ФН1,19.03.01_01
476,Конструирование узлов и элементов биотехнических систем,РЛ5,19.03.01_01
477,Основы технологии приборостроения,РЛ6,19.03.01_01
478,Прикладная механика,РК5,19.03.01_01
479,Электроника,БМТ1,19.03.01_01
480,Физическая химия,ФН5,19.03.01_01
481,Биофизика,БМТ2,19.03.01_01
482,Основы биотехнологии,БМТ3,19.03.01_01
483,Экология,Э9,19.03.01_01
484,Автоматизация и системы управления биотехнологическими процессами,БМТ3,19.03.01_01
485,Основы законодательства и технического регулирования,ЮР,19.03.01_01
486,Творческий проект,БМТ3,19.03.01_01
487,Безопасность жизнедеятельности,Э9,19.03.01_01
488,Основы пищевых производств,БМТ3,19.03.01_01
489,Основы проектирования оборудования биотехнологических и химических производств,БМТ3,19.03.01_01
490,Процессы и аппараты химической и биотехнологии,БМТ3,19.03.01_01
491,Философия,СГН4,19.03.01_01
492,Введение в инженерную деятельность,БМТ3,19.03.01_01
493,Общая биология и генетика,БМТ3,19.03.01_01
494,Молекулярная физика,БМТ3,19.03.01_01
495,Основы энзимологии,БМТ3,19.03.01_01
496,Химико-технологический контроль биотехнологических процессов,БМТ3,19.03.01_01
